transport	port	service
tcp	173	xyplex-mux
udp	173	xyplex-mux
tcp	174	mailq
udp	174	mailq
tcp	175	vmnet
udp	175	vmnet
tcp	176	genrad-mux
udp	176	genrad-mux
tcp	177	xdmcp
udp	177	xdmcp
tcp	178	nextstep
udp	178	nextstep
tcp	179	bgp
udp	179	bgp
tcp	180	ris
udp	180	ris
tcp	181	unify
udp	181	unify
tcp	182	audit
udp	182	audit
tcp	183	ocbinder
udp	183	ocbinder
tcp	184	ocserver
udp	184	ocserver
tcp	185	remote-kis
udp	185	remote-kis
tcp	186	kis
udp	186	kis
tcp	187	aci
udp	187	aci
tcp	188	mumps
udp	188	mumps
tcp	189	qft
udp	189	qft
tcp	190	gacp
udp	190	gacp
tcp	191	prospero
udp	191	prospero
tcp	192	osu-nms
udp	192	osu-nms
tcp	193	srmp
udp	193	srmp
tcp	194	irc
udp	194	irc
tcp	195	dn6-nlm-aud
udp	195	dn6-nlm-aud
tcp	196	dn6-smm-red
udp	196	dn6-smm-red
tcp	197	dls
udp	197	dls
tcp	198	dls-mon
udp	198	dls-mon
tcp	199	smux
udp	199	smux
tcp	200	src
udp	200	src
tcp	201	at-rtmp
udp	201	at-rtmp
tcp	202	at-nbp
udp	202	at-nbp
tcp	203	at-3
udp	203	at-3
tcp	204	at-echo
udp	204	at-echo
tcp	205	at-5
udp	205	at-5
tcp	206	at-zis
udp	206	at-zis
tcp	207	at-7
udp	207	at-7
tcp	208	at-8
udp	208	at-8
tcp	209	qmtp
udp	209	qmtp
tcp	210	z39-50
tcp	210	z39.50
udp	210	z39-50
udp	210	z39.50
tcp	211	914c-g
tcp	211	914c/g
udp	211	914c-g
udp	211	914c/g
tcp	212	anet
udp	212	anet
tcp	213	ipx
udp	213	ipx
tcp	214	vmpwscs
udp	214	vmpwscs
tcp	215	softpc
udp	215	softpc
tcp	216	CAIlic
udp	216	CAIlic
tcp	217	dbase
udp	217	dbase
tcp	218	mpp
udp	218	mpp
tcp	219	uarps
udp	219	uarps
tcp	220	imap3
udp	220	imap3
tcp	221	fln-spx
udp	221	fln-spx
tcp	222	rsh-spx
udp	222	rsh-spx
tcp	223	cdc
udp	223	cdc
tcp	224	masqdialer
udp	224	masqdialer
tcp	242	direct
udp	242	direct
tcp	243	sur-meas
udp	243	sur-meas
tcp	244	inbusiness
udp	244	inbusiness
tcp	245	link
udp	245	link
tcp	246	dsp3270
udp	246	dsp3270
tcp	247	subntbcst-tftp
tcp	247	subntbcst_tftp
udp	247	subntbcst-tftp
udp	247	subntbcst_tftp
tcp	248	bhfhs
udp	248	bhfhs
tcp	256	rap
udp	256	rap
tcp	257	set
udp	257	set
tcp	259	esro-gen
udp	259	esro-gen
tcp	260	openport
udp	260	openport
tcp	261	nsiiops
udp	261	nsiiops
tcp	262	arcisdms
udp	262	arcisdms
tcp	263	hdap
udp	263	hdap
tcp	264	bgmp
udp	264	bgmp
tcp	265	x-bone-ctl
udp	265	x-bone-ctl
tcp	266	sst
udp	266	sst
tcp	267	td-service
udp	267	td-service
tcp	268	td-replica
udp	268	td-replica
tcp	269	manet
udp	269	manet
udp	270	gist
tcp	271	pt-tls
tcp	280	http-mgmt
udp	280	http-mgmt
tcp	281	personal-link
udp	281	personal-link
tcp	282	cableport-ax
udp	282	cableport-ax
tcp	283	rescap
udp	283	rescap
tcp	284	corerjd
udp	284	corerjd
tcp	286	fxp
udp	286	fxp
tcp	287	k-block
udp	287	k-block
tcp	308	novastorbakcup
udp	308	novastorbakcup
tcp	309	entrusttime
udp	309	entrusttime
tcp	310	bhmds
udp	310	bhmds
tcp	311	asip-webadmin
udp	311	asip-webadmin
tcp	312	vslmp
udp	312	vslmp
tcp	313	magenta-logic
udp	313	magenta-logic
tcp	314	opalis-robot
udp	314	opalis-robot
tcp	315	dpsi
udp	315	dpsi
tcp	316	decauth
udp	316	decauth
tcp	317	zannet
udp	317	zannet
tcp	318	pkix-timestamp
udp	318	pkix-timestamp
tcp	319	ptp-event
udp	319	ptp-event
tcp	320	ptp-general
udp	320	ptp-general
tcp	321	pip
udp	321	pip
tcp	322	rtsps
udp	322	rtsps
tcp	323	rpki-rtr
tcp	324	rpki-rtr-tls
tcp	333	texar
udp	333	texar
tcp	344	pdap
udp	344	pdap
tcp	345	pawserv
udp	345	pawserv
tcp	346	zserv
udp	346	zserv
tcp	347	fatserv
udp	347	fatserv
tcp	348	csi-sgwp
udp	348	csi-sgwp
tcp	349	mftp
udp	349	mftp
tcp	350	matip-type-a
udp	350	matip-type-a
tcp	351	matip-type-b
udp	351	matip-type-b
tcp	351	bhoetty
udp	351	bhoetty
tcp	352	dtag-ste-sb
udp	352	dtag-ste-sb
tcp	352	bhoedap4
udp	352	bhoedap4
tcp	353	ndsauth
udp	353	ndsauth
tcp	354	bh611
udp	354	bh611
tcp	355	datex-asn
udp	355	datex-asn
tcp	356	cloanto-net-1
udp	356	cloanto-net-1
tcp	357	bhevent
udp	357	bhevent
tcp	358	shrinkwrap
udp	358	shrinkwrap
tcp	359	nsrmp
udp	359	nsrmp
tcp	360	scoi2odialog
udp	360	scoi2odialog
tcp	361	semantix
udp	361	semantix
tcp	362	srssend
udp	362	srssend
tcp	363	rsvp-tunnel
tcp	363	rsvp_tunnel
udp	363	rsvp-tunnel
udp	363	rsvp_tunnel
tcp	364	aurora-cmgr
udp	364	aurora-cmgr
tcp	365	dtk
udp	365	dtk
tcp	366	odmr
udp	366	odmr
tcp	367	mortgageware
udp	367	mortgageware
tcp	368	qbikgdp
udp	368	qbikgdp
tcp	369	rpc2portmap
udp	369	rpc2portmap
tcp	370	codaauth2
udp	370	codaauth2
tcp	371	clearcase
udp	371	clearcase
tcp	372	ulistproc
udp	372	ulistproc
tcp	373	legent-1
udp	373	legent-1
tcp	374	legent-2
udp	374	legent-2
tcp	375	hassle
udp	375	hassle
tcp	376	nip
udp	376	nip
tcp	377	tnETOS
udp	377	tnETOS
tcp	378	dsETOS
udp	378	dsETOS
tcp	379	is99c
udp	379	is99c
tcp	380	is99s
udp	380	is99s
tcp	381	hp-collector
udp	381	hp-collector
tcp	382	hp-managed-node
udp	382	hp-managed-node
tcp	383	hp-alarm-mgr
udp	383	hp-alarm-mgr
tcp	384	arns
udp	384	arns
tcp	385	ibm-app
udp	385	ibm-app
tcp	386	asa
udp	386	asa
tcp	387	aurp
udp	387	aurp
tcp	388	unidata-ldm
udp	388	unidata-ldm
tcp	389	ldap
udp	389	ldap
tcp	390	uis
udp	390	uis
tcp	391	synotics-relay
udp	391	synotics-relay
tcp	392	synotics-broker
udp	392	synotics-broker
tcp	393	meta5
udp	393	meta5
tcp	394	embl-ndt
udp	394	embl-ndt
tcp	395	netcp
udp	395	netcp
tcp	396	netware-ip
udp	396	netware-ip
tcp	397	mptn
udp	397	mptn
tcp	398	kryptolan
udp	398	kryptolan
tcp	399	iso-tsap-c2
udp	399	iso-tsap-c2
tcp	400	osb-sd
udp	400	osb-sd
tcp	401	ups
udp	401	ups
tcp	402	genie
udp	402	genie
tcp	403	decap
udp	403	decap
tcp	404	nced
udp	404	nced
tcp	405	ncld
udp	405	ncld
tcp	406	imsp
udp	406	imsp
tcp	407	timbuktu
udp	407	timbuktu
tcp	408	prm-sm
udp	408	prm-sm
tcp	409	prm-nm
udp	409	prm-nm
tcp	410	decladebug
udp	410	decladebug
tcp	411	rmt
udp	411	rmt
tcp	412	synoptics-trap
udp	412	synoptics-trap
tcp	413	smsp
udp	413	smsp
tcp	414	infoseek
udp	414	infoseek
tcp	415	bnet
udp	415	bnet
tcp	416	silverplatter
udp	416	silverplatter
tcp	417	onmux
udp	417	onmux
tcp	418	hyper-g
udp	418	hyper-g
tcp	419	ariel1
udp	419	ariel1
tcp	420	smpte
udp	420	smpte
tcp	421	ariel2
udp	421	ariel2
tcp	422	ariel3
udp	422	ariel3
tcp	423	opc-job-start
udp	423	opc-job-start
tcp	424	opc-job-track
udp	424	opc-job-track
tcp	425	icad-el
udp	425	icad-el
tcp	426	smartsdp
udp	426	smartsdp
tcp	427	svrloc
udp	427	svrloc
tcp	428	ocs-cmu
tcp	428	ocs_cmu
udp	428	ocs-cmu
udp	428	ocs_cmu
tcp	429	ocs-amu
tcp	429	ocs_amu
udp	429	ocs-amu
udp	429	ocs_amu
tcp	430	utmpsd
udp	430	utmpsd
tcp	431	utmpcd
udp	431	utmpcd
tcp	432	iasd
udp	432	iasd
tcp	433	nnsp
udp	433	nnsp
tcp	434	mobileip-agent
udp	434	mobileip-agent
tcp	435	mobilip-mn
udp	435	mobilip-mn
tcp	436	dna-cml
udp	436	dna-cml
tcp	437	comscm
udp	437	comscm
tcp	438	dsfgw
udp	438	dsfgw
tcp	439	dasp
udp	439	dasp
tcp	440	sgcp
udp	440	sgcp
tcp	441	decvms-sysmgt
udp	441	decvms-sysmgt
tcp	442	cvc-hostd
tcp	442	cvc_hostd
udp	442	cvc-hostd
udp	442	cvc_hostd
tcp	443	https
udp	443	https
tcp	444	snpp
udp	444	snpp
tcp	445	microsoft-ds
udp	445	microsoft-ds
tcp	446	ddm-rdb
udp	446	ddm-rdb
tcp	447	ddm-dfm
udp	447	ddm-dfm
tcp	448	ddm-ssl
udp	448	ddm-ssl
tcp	449	as-servermap
udp	449	as-servermap
tcp	450	tserver
udp	450	tserver
tcp	451	sfs-smp-net
udp	451	sfs-smp-net
tcp	452	sfs-config
udp	452	sfs-config
tcp	453	creativeserver
udp	453	creativeserver
tcp	454	contentserver
udp	454	contentserver
tcp	455	creativepartnr
udp	455	creativepartnr
tcp	456	macon-tcp
udp	456	macon-udp
tcp	457	scohelp
udp	457	scohelp
tcp	458	appleqtc
udp	458	appleqtc
tcp	459	ampr-rcmd
udp	459	ampr-rcmd
tcp	460	skronk
udp	460	skronk
tcp	461	datasurfsrv
udp	461	datasurfsrv
tcp	462	datasurfsrvsec
udp	462	datasurfsrvsec
tcp	463	alpes
udp	463	alpes
tcp	464	kpasswd
udp	464	kpasswd
tcp	465	urd
tcp	465	submissions
udp	465	igmpv3lite
tcp	466	digital-vrc
udp	466	digital-vrc
tcp	467	mylex-mapd
udp	467	mylex-mapd
tcp	468	photuris
udp	468	photuris
tcp	469	rcp
udp	469	rcp
tcp	470	scx-proxy
udp	470	scx-proxy
tcp	471	mondex
udp	471	mondex
tcp	472	ljk-login
udp	472	ljk-login
tcp	473	hybrid-pop
udp	473	hybrid-pop
tcp	474	tn-tl-w1
udp	474	tn-tl-w2
tcp	475	tcpnethaspsrv
udp	475	tcpnethaspsrv
tcp	476	tn-tl-fd1
udp	476	tn-tl-fd1
tcp	477	ss7ns
udp	477	ss7ns
tcp	478	spsc
udp	478	spsc
tcp	479	iafserver
udp	479	iafserver
tcp	480	iafdbase
udp	480	iafdbase
tcp	481	ph
udp	481	ph
tcp	482	bgs-nsi
udp	482	bgs-nsi
tcp	483	ulpnet
udp	483	ulpnet
tcp	484	integra-sme
udp	484	integra-sme
tcp	485	powerburst
udp	485	powerburst
tcp	486	avian
udp	486	avian
tcp	487	saft
udp	487	saft
tcp	488	gss-http
udp	488	gss-http
tcp	489	nest-protocol
udp	489	nest-protocol
tcp	490	micom-pfs
udp	490	micom-pfs
tcp	491	go-login
udp	491	go-login
tcp	492	ticf-1
udp	492	ticf-1
tcp	493	ticf-2
udp	493	ticf-2
tcp	494	pov-ray
udp	494	pov-ray
tcp	495	intecourier
udp	495	intecourier
tcp	496	pim-rp-disc
udp	496	pim-rp-disc
tcp	497	retrospect
udp	497	retrospect
tcp	498	siam
udp	498	siam
tcp	499	iso-ill
udp	499	iso-ill
tcp	500	isakmp
udp	500	isakmp
tcp	501	stmf
udp	501	stmf
tcp	502	mbap
udp	502	mbap
tcp	503	intrinsa
udp	503	intrinsa
tcp	504	citadel
udp	504	citadel
tcp	505	mailbox-lm
udp	505	mailbox-lm
tcp	506	ohimsrv
udp	506	ohimsrv
tcp	507	crs
udp	507	crs
tcp	508	xvttp
udp	508	xvttp
tcp	509	snare
udp	509	snare
tcp	510	fcp
udp	510	fcp
tcp	511	passgo
udp	511	passgo
tcp	512	exec
udp	512	comsat
udp	512	biff
tcp	513	login
udp	513	who
tcp	514	shell
udp	514	syslog
tcp	515	printer
udp	515	printer
tcp	516	videotex
udp	516	videotex
tcp	517	talk
udp	517	talk
tcp	518	ntalk
udp	518	ntalk
tcp	519	utime
udp	519	utime
tcp	520	efs
udp	520	router
tcp	521	ripng
udp	521	ripng
tcp	522	ulp
udp	522	ulp
tcp	523	ibm-db2
udp	523	ibm-db2
tcp	524	ncp
udp	524	ncp
tcp	525	timed
udp	525	timed
tcp	526	tempo
udp	526	tempo
tcp	527	stx
udp	527	stx
tcp	528	custix
udp	528	custix
tcp	529	irc-serv
udp	529	irc-serv
tcp	530	courier
udp	530	courier
tcp	531	conference
udp	531	conference
tcp	532	netnews
udp	532	netnews
tcp	533	netwall
udp	533	netwall
tcp	534	windream
udp	534	windream
tcp	535	iiop
udp	535	iiop
tcp	536	opalis-rdv
udp	536	opalis-rdv
tcp	537	nmsp
udp	537	nmsp
tcp	538	gdomap
udp	538	gdomap
tcp	539	apertus-ldp
udp	539	apertus-ldp
tcp	540	uucp
udp	540	uucp
tcp	541	uucp-rlogin
udp	541	uucp-rlogin
tcp	542	commerce
udp	542	commerce
tcp	543	klogin
udp	543	klogin
tcp	544	kshell
udp	544	kshell
tcp	545	appleqtcsrvr
udp	545	appleqtcsrvr
tcp	546	dhcpv6-client
udp	546	dhcpv6-client
tcp	547	dhcpv6-server
udp	547	dhcpv6-server
tcp	548	afpovertcp
udp	548	afpovertcp
tcp	549	idfp
udp	549	idfp
tcp	550	new-rwho
udp	550	new-rwho
tcp	551	cybercash
udp	551	cybercash
tcp	552	devshr-nts
udp	552	devshr-nts
tcp	553	pirp
udp	553	pirp
tcp	554	rtsp
udp	554	rtsp
tcp	555	dsf
udp	555	dsf
tcp	556	remotefs
udp	556	remotefs
tcp	557	openvms-sysipc
udp	557	openvms-sysipc
tcp	558	sdnskmp
udp	558	sdnskmp
tcp	559	teedtap
udp	559	teedtap
tcp	560	rmonitor
udp	560	rmonitor
tcp	561	monitor
udp	561	monitor
tcp	562	chshell
udp	562	chshell
tcp	563	nntps
udp	563	nntps
tcp	564	9pfs
udp	564	9pfs
tcp	565	whoami
udp	565	whoami
tcp	566	streettalk
udp	566	streettalk
tcp	567	banyan-rpc
udp	567	banyan-rpc
tcp	568	ms-shuttle
udp	568	ms-shuttle
tcp	569	ms-rome
udp	569	ms-rome
tcp	570	meter
udp	570	meter
tcp	571	meter
udp	571	meter
tcp	572	sonar
udp	572	sonar
tcp	573	banyan-vip
udp	573	banyan-vip
tcp	574	ftp-agent
udp	574	ftp-agent
tcp	575	vemmi
udp	575	vemmi
tcp	576	ipcd
udp	576	ipcd
tcp	577	vnas
udp	577	vnas
tcp	578	ipdd
udp	578	ipdd
tcp	579	decbsrv
udp	579	decbsrv
tcp	580	sntp-heartbeat
udp	580	sntp-heartbeat
tcp	581	bdp
udp	581	bdp
tcp	582	scc-security
udp	582	scc-security
tcp	583	philips-vc
udp	583	philips-vc
tcp	584	keyserver
udp	584	keyserver
tcp	586	password-chg
udp	586	password-chg
tcp	587	submission
udp	587	submission
tcp	588	cal
udp	588	cal
tcp	589	eyelink
udp	589	eyelink
tcp	590	tns-cml
udp	590	tns-cml
tcp	591	http-alt
udp	591	http-alt
tcp	592	eudora-set
udp	592	eudora-set
tcp	593	http-rpc-epmap
udp	593	http-rpc-epmap
tcp	594	tpip
udp	594	tpip
tcp	595	cab-protocol
udp	595	cab-protocol
tcp	596	smsd
udp	596	smsd
tcp	597	ptcnameservice
udp	597	ptcnameservice
tcp	598	sco-websrvrmg3
udp	598	sco-websrvrmg3
tcp	599	acp
udp	599	acp
tcp	600	ipcserver
udp	600	ipcserver
tcp	601	syslog-conn
udp	601	syslog-conn
tcp	602	xmlrpc-beep
udp	602	xmlrpc-beep
tcp	603	idxp
udp	603	idxp
tcp	604	tunnel
udp	604	tunnel
tcp	605	soap-beep
udp	605	soap-beep
tcp	606	urm
udp	606	urm
tcp	607	nqs
udp	607	nqs
tcp	608	sift-uft
udp	608	sift-uft
tcp	609	npmp-trap
udp	609	npmp-trap
tcp	610	npmp-local
udp	610	npmp-local
tcp	611	npmp-gui
udp	611	npmp-gui
tcp	612	hmmp-ind
udp	612	hmmp-ind
tcp	613	hmmp-op
udp	613	hmmp-op
tcp	614	sshell
udp	614	sshell
tcp	615	sco-inetmgr
udp	615	sco-inetmgr
tcp	616	sco-sysmgr
udp	616	sco-sysmgr
tcp	617	sco-dtmgr
udp	617	sco-dtmgr
tcp	618	dei-icda
udp	618	dei-icda
tcp	619	compaq-evm
udp	619	compaq-evm
tcp	620	sco-websrvrmgr
udp	620	sco-websrvrmgr
tcp	621	escp-ip
udp	621	escp-ip
tcp	622	collaborator
udp	622	collaborator
tcp	623	oob-ws-http
udp	623	asf-rmcp
tcp	624	cryptoadmin
udp	624	cryptoadmin
tcp	625	dec-dlm
tcp	625	dec_dlm
udp	625	dec-dlm
udp	625	dec_dlm
tcp	626	asia
udp	626	asia
tcp	627	passgo-tivoli
udp	627	passgo-tivoli
tcp	628	qmqp
udp	628	qmqp
tcp	629	3com-amp3
udp	629	3com-amp3
tcp	630	rda
udp	630	rda
tcp	631	ipp
udp	631	ipp
tcp	631	ipps
tcp	632	bmpp
udp	632	bmpp
tcp	633	servstat
udp	633	servstat
tcp	634	ginad
udp	634	ginad
tcp	635	rlzdbase
udp	635	rlzdbase
tcp	636	ldaps
udp	636	ldaps
tcp	637	lanserver
udp	637	lanserver
tcp	638	mcns-sec
udp	638	mcns-sec
tcp	639	msdp
udp	639	msdp
tcp	640	entrust-sps
udp	640	entrust-sps
tcp	641	repcmd
udp	641	repcmd
tcp	642	esro-emsdp
udp	642	esro-emsdp
tcp	643	sanity
udp	643	sanity
tcp	644	dwr
udp	644	dwr
tcp	645	pssc
udp	645	pssc
tcp	646	ldp
udp	646	ldp
tcp	647	dhcp-failover
udp	647	dhcp-failover
tcp	648	rrp
udp	648	rrp
tcp	649	cadview-3d
udp	649	cadview-3d
tcp	650	obex
udp	650	obex
tcp	651	ieee-mms
udp	651	ieee-mms
tcp	652	hello-port
udp	652	hello-port
tcp	653	repscmd
udp	653	repscmd
tcp	654	aodv
udp	654	aodv
tcp	655	tinc
udp	655	tinc
tcp	656	spmp
udp	656	spmp
tcp	657	rmc
udp	657	rmc
tcp	658	tenfold
udp	658	tenfold
tcp	660	mac-srvr-admin
udp	660	mac-srvr-admin
tcp	661	hap
udp	661	hap
tcp	662	pftp
udp	662	pftp
tcp	663	purenoise
udp	663	purenoise
tcp	664	oob-ws-https
udp	664	asf-secure-rmcp
tcp	665	sun-dr
udp	665	sun-dr
tcp	666	mdqs
udp	666	mdqs
tcp	666	doom
udp	666	doom
tcp	667	disclose
udp	667	disclose
tcp	668	mecomm
udp	668	mecomm
tcp	669	meregister
udp	669	meregister
tcp	670	vacdsm-sws
udp	670	vacdsm-sws
tcp	671	vacdsm-app
udp	671	vacdsm-app
tcp	672	vpps-qua
udp	672	vpps-qua
tcp	673	cimplex
udp	673	cimplex
tcp	674	acap
udp	674	acap
tcp	675	dctp
udp	675	dctp
tcp	676	vpps-via
udp	676	vpps-via
tcp	677	vpp
udp	677	vpp
tcp	678	ggf-ncp
udp	678	ggf-ncp
tcp	679	mrm
udp	679	mrm
tcp	680	entrust-aaas
udp	680	entrust-aaas
tcp	681	entrust-aams
udp	681	entrust-aams
tcp	682	xfr
udp	682	xfr
tcp	683	corba-iiop
udp	683	corba-iiop
tcp	684	corba-iiop-ssl
udp	684	corba-iiop-ssl
tcp	685	mdc-portmapper
udp	685	mdc-portmapper
tcp	686	hcp-wismar
udp	686	hcp-wismar
tcp	687	asipregistry
udp	687	asipregistry
tcp	688	realm-rusd
udp	688	realm-rusd
tcp	689	nmap
udp	689	nmap
tcp	690	vatp
udp	690	vatp
tcp	691	msexch-routing
udp	691	msexch-routing
tcp	692	hyperwave-isp
udp	692	hyperwave-isp
tcp	693	connendp
udp	693	connendp
tcp	694	ha-cluster
udp	694	ha-cluster
tcp	695	ieee-mms-ssl
udp	695	ieee-mms-ssl
tcp	696	rushd
udp	696	rushd
tcp	697	uuidgen
udp	697	uuidgen
tcp	698	olsr
udp	698	olsr
tcp	699	accessnetwork
udp	699	accessnetwork
tcp	700	epp
udp	700	epp
tcp	701	lmp
udp	701	lmp
tcp	702	iris-beep
udp	702	iris-beep
tcp	704	elcsd
udp	704	elcsd
tcp	705	agentx
udp	705	agentx
tcp	706	silc
udp	706	silc
tcp	707	borland-dsj
udp	707	borland-dsj
tcp	709	entrust-kmsh
udp	709	entrust-kmsh
tcp	710	entrust-ash
udp	710	entrust-ash
tcp	711	cisco-tdp
udp	711	cisco-tdp
tcp	712	tbrpf
udp	712	tbrpf
tcp	713	iris-xpc
udp	713	iris-xpc
tcp	714	iris-xpcs
udp	714	iris-xpcs
tcp	715	iris-lwz
udp	715	iris-lwz
udp	716	pana
tcp	729	netviewdm1
udp	729	netviewdm1
tcp	730	netviewdm2
udp	730	netviewdm2
tcp	731	netviewdm3
udp	731	netviewdm3
tcp	741	netgw
udp	741	netgw
tcp	742	netrcs
udp	742	netrcs
tcp	744	flexlm
udp	744	flexlm
tcp	747	fujitsu-dev
udp	747	fujitsu-dev
tcp	748	ris-cm
udp	748	ris-cm
tcp	749	kerberos-adm
udp	749	kerberos-adm
